team_1,team_2,POM_dif,SAG_dif,MOR_dif,DOK_dif,result
1334,1415,172,155,124,138,1
1110,1298,131,135,116,133,1
1199,1155,9,8,15,10,1
1361,1424,26,47,42,34,1
1314,1280,181,120,191,96,1
1293,1120,69,45,-9,78,1
1264,1233,-103,-131,-104,-111,1
1294,1381,108,134,85,129,1
1277,1228,21,68,35,62,1
1172,1158,49,54,32,42,1
1299,1175,78,51,57,23,1
1192,1384,1,13,-5,10,1
1229,1133,46,54,13,53,1
1335,1174,-10,22,-16,-9,1
1142,1169,-25,-42,-6,-26,1
1460,1453,-5,17,-6,5,1
1216,1262,18,20,42,4,1
1182,1271,191,190,214,201,1
1111,1117,47,5,72,62,1
1319,1285,-77,-89,-48,-61,1
1248,1298,54,45,32,47,1
1382,1386,-56,-74,-93,-67,1
1183,1398,-73,-60,-65,-47,1
1143,1450,59,56,55,59,1
1386,1271,234,229,240,224,1
1163,1153,-34,-30,-14,-17,1
1293,1398,52,61,57,45,1
1217,1130,105,152,45,125,1
1438,1456,263,258,307,176,1
1422,1154,32,3,38,5,1
1150,1434,-29,-30,15,-7,1
1200,1247,77,114,57,109,1
1243,1452,-28,-36,-35,-31,1
1231,1290,336,339,336,336,1
1400,1403,82,68,63,75,1
1347,1457,17,17,44,16,1
1447,1351,-45,-19,-106,-15,1
1213,1167,-9,22,-4,25,1
1156,1169,-23,-36,-40,-47,1
1426,1258,128,76,20,96,1
1396,1408,65,65,47,69,1
1194,1317,-12,-29,-41,-75,1
1365,1339,131,124,135,105,1
1185,1123,28,41,13,38,1
1460,1293,-52,-107,-124,-95,1
1379,1349,115,114,99,107,1
1295,1377,-20,-3,-12,-10,1
1324,1287,-74,-88,6,-81,1
1204,1418,60,32,70,14,1
1166,1359,107,40,116,65,1
1365,1339,139,141,152,143,1
1276,1321,56,36,40,92,1
1450,1113,74,80,45,89,1
1299,1312,-13,-23,17,-24,1
1305,1113,-26,-21,6,-28,1
1381,1377,-18,-62,16,-10,1
1115,1212,-17,-23,-7,-29,1
1437,1396,91,94,75,95,1
1218,1305,-161,-150,-146,-161,1
1329,1243,-4,-11,-8,7,1
1314,1274,46,64,43,104,1
1344,1135,127,181,118,135,1
1108,1290,6,7,2,8,1
1298,1119,-76,-68,-33,-58,1
1166,1356,12,33,-12,27,1
1350,1149,216,230,211,245,1
1380,1108,122,147,98,142,1
1418,1426,93,95,101,105,1
1458,1231,-33,-37,-13,-29,1
1371,1344,-62,-49,-37,-60,1
1282,1152,-5,-13,29,-33,1
1276,1345,-14,-24,18,-11,1
1273,1244,117,112,92,144,1
1338,1110,174,131,192,159,1
1179,1356,53,79,3,45,1
1206,1203,83,77,118,92,1
1207,1139,-84,-83,-100,-77,1
1250,1298,225,220,188,225,1
1371,1353,80,71,69,80,1
1252,1391,84,86,83,85,1
1262,1420,6,-39,-15,-39,1
1196,1116,35,43,31,42,1
1210,1431,-17,-31,-11,15,1
1273,1310,26,1,59,-27,1
1434,1464,22,-12,7,10,1
1177,1454,117,81,85,60,1
1414,1253,-14,-8,21,-27,1
1334,1388,-148,-142,-151,-145,1
1166,1356,89,69,106,85,1
1439,1329,-57,-72,44,-47,1
1388,1334,159,158,166,139,1
1458,1315,208,224,207,274,1
1245,1185,174,173,135,163,1
1160,1238,278,278,303,253,1
1292,1330,-97,-109,-88,-75,1
1347,1421,-119,-154,-96,-143,1
1290,1380,-24,-39,-31,-36,1
1426,1347,-30,-18,11,-22,1
1323,1178,144,206,141,241,1
1186,1294,-45,-43,-33,-65,1
1322,1270,68,96,71,120,1
1286,1426,-122,-155,-95,-152,1
1233,1373,145,166,43,167,1
1390,1417,48,79,10,72,1
1286,1428,-139,-96,-124,-102,1
1120,1281,-31,-11,-42,-36,1
1150,1192,142,96,153,105,1
1291,1357,51,51,4,51,1
1260,1200,32,42,-12,73,1
1411,1212,173,147,103,160,1
1267,1256,-86,-71,-69,-58,1
1114,1366,168,170,165,170,1
1417,1390,8,30,6,22,1
1288,1406,86,112,13,38,1
1379,1431,14,21,7,34,1
1357,1221,128,139,84,119,1
1133,1404,100,113,120,190,1
1120,1196,16,20,23,22,1
1252,1399,116,127,99,107,1
1451,1286,3,-31,69,-16,1
1274,1155,-45,-46,-3,-14,1
1324,1147,184,209,201,195,1
1103,1132,158,160,178,151,1
1236,1442,37,53,73,61,1
1381,1226,27,11,51,13,1
1350,1200,55,60,54,47,1
1250,1373,59,106,108,41,1
1381,1295,-116,-123,-106,-159,1
1337,1388,-123,-117,-75,-78,1
1214,1313,67,67,66,57,1
1207,1257,-2,4,-4,4,1
1324,1460,-11,-23,43,-23,1
1401,1368,261,250,185,216,1
1283,1133,32,34,9,28,1
1326,1458,5,6,7,2,1
1186,1285,-74,-77,-93,-80,1
1282,1167,-21,-13,-33,-5,1
1156,1260,68,24,94,56,1
1320,1455,46,3,8,13,1
1130,1137,121,91,104,76,1
1345,1442,308,317,316,262,1
1387,1173,-73,-49,-73,-53,1
1365,1258,65,47,48,22,1
1346,1357,-69,-56,-52,-73,1
1334,1253,84,52,109,59,1
1413,1202,49,97,47,41,1
1444,1453,40,21,55,14,1
1196,1376,102,112,83,133,1
1116,1261,-35,-24,-28,-28,1
1449,1160,-32,-23,-32,-37,1
1263,1127,156,160,93,150,1
1219,1189,-10,-32,-1,-16,1
1300,1271,139,122,50,106,1
1426,1270,30,-7,6,-6,1
1406,1189,127,94,117,122,1
1320,1283,56,24,55,61,1
1110,1259,-77,-60,-71,-50,1
1167,1319,209,160,213,197,1
1272,1431,98,106,100,97,1
1236,1391,125,159,141,99,1
1361,1201,128,134,103,120,1
1235,1304,-35,-35,-82,-47,1
1160,1388,53,50,29,-15,1
1394,1223,-21,7,-47,31,1
1310,1265,87,82,57,76,1
1433,1457,235,260,229,270,1
1412,1330,-26,-20,-39,-20,1
1164,1366,-26,-14,-31,-18,1
1418,1317,-58,-35,-56,-48,1
1379,1108,288,285,291,280,1
1225,1305,13,19,-28,6,1
1355,1303,94,110,95,107,1
1143,1428,-27,-6,-13,-7,1
1156,1405,72,7,-16,121,1
1239,1197,65,50,68,83,1
1317,1150,-95,-90,-123,-91,1
1350,1173,-136,-145,-141,-144,1
1124,1243,-272,-225,-108,-271,1
1450,1449,-81,-61,-62,-81,1
1245,1132,-4,11,43,23,1
1394,1368,9,2,9,19,1
1352,1192,1,-7,-8,-2,1
1386,1335,164,170,115,177,1
1242,1304,31,53,42,42,1
1371,1266,52,35,28,25,1
1115,1212,25,32,15,31,1
1209,1111,51,47,113,59,1
1260,1320,-3,-25,-80,-7,1
1427,1198,9,3,-30,-10,1
1358,1341,100,119,91,135,1
1276,1353,72,55,68,127,1
1132,1141,71,74,76,62,1
1355,1410,20,27,44,25,1
1122,1404,87,54,145,67,1
1234,1336,33,40,49,50,1
1198,1349,75,48,69,50,1
1425,1462,-96,-116,-126,-115,1
1132,1325,105,143,30,85,1
1323,1353,104,123,84,98,1
1326,1278,69,68,54,71,1
1411,1380,6,8,57,6,1
1211,1208,46,19,50,92,1
1422,1154,36,55,46,41,1
1270,1368,11,-32,-18,-45,1
1166,1269,90,77,-21,55,1
1441,1172,-141,-133,-146,-139,1
1214,1264,-104,-107,-141,-137,1
1267,1342,127,138,104,162,1
1352,1383,90,103,119,94,1
1451,1170,140,144,173,110,1
1184,1369,154,149,159,150,1
1277,1345,24,24,11,30,1
1127,1436,-100,-79,-104,-100,1
1360,1339,-5,-17,-1,15,1
1272,1122,224,189,200,195,1
1157,1219,-33,-25,-47,-51,1
1336,1127,163,199,129,224,1
1160,1235,-78,-103,-57,-72,1
1248,1221,150,150,139,128,1
1156,1358,80,147,92,78,1
1260,1191,214,181,184,176,1
1242,1282,262,233,292,263,1
1218,1313,85,116,77,122,1
1396,1247,1,33,21,1,1
1425,1428,8,6,19,15,1
1437,1386,151,131,135,156,1
1138,1123,13,1,15,25,1
1133,1320,-180,-174,-154,-177,1
1249,1358,-133,-135,-151,-132,1
1221,1148,28,11,33,11,1
1419,1212,73,66,-10,79,1
1320,1307,-45,-67,-46,-57,1
1189,1209,-62,12,-14,-31,1
1196,1246,27,30,9,31,1
1374,1209,28,5,11,36,1
